Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu
Daily Observation Table for March 19 2021 to April 18 2021
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available
Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Avg Temp,Avg Temp Flag
,deg,deg,ft,,,,Degrees F,
Ada,47.3211,-96.5139,910,2021,03,19,40.395,
Ada,47.3211,-96.5139,910,2021,03,20,50.546,
Ada,47.3211,-96.5139,910,2021,03,21,42.461,
Ada,47.3211,-96.5139,910,2021,03,22,35.165,
Ada,47.3211,-96.5139,910,2021,03,23,41.917,
Ada,47.3211,-96.5139,910,2021,03,24,35.079,
Ada,47.3211,-96.5139,910,2021,03,25,35.807,
Ada,47.3211,-96.5139,910,2021,03,26,36.946,
Ada,47.3211,-96.5139,910,2021,03,27,33.897,
Ada,47.3211,-96.5139,910,2021,03,28,29.255,
Ada,47.3211,-96.5139,910,2021,03,29,52.874,
Ada,47.3211,-96.5139,910,2021,03,30,22.523,
Ada,47.3211,-96.5139,910,2021,03,31,22.283,
Ada,47.3211,-96.5139,910,2021,04,01,33.035,
Ada,47.3211,-96.5139,910,2021,04,02,51.745,
Ada,47.3211,-96.5139,910,2021,04,03,47.205,
Ada,47.3211,-96.5139,910,2021,04,04,49.346,
Ada,47.3211,-96.5139,910,2021,04,05,53.942,
Ada,47.3211,-96.5139,910,2021,04,06,41.349,
Ada,47.3211,-96.5139,910,2021,04,07,48.477,
Ada,47.3211,-96.5139,910,2021,04,08,41.995,
Ada,47.3211,-96.5139,910,2021,04,09,42.512,
Ada,47.3211,-96.5139,910,2021,04,10,42.373,
Ada,47.3211,-96.5139,910,2021,04,11,42.572,
Ada,47.3211,-96.5139,910,2021,04,12,33.869,
Ada,47.3211,-96.5139,910,2021,04,13,27.028,
Ada,47.3211,-96.5139,910,2021,04,14,29.784,
Ada,47.3211,-96.5139,910,2021,04,15,35.866,
Ada,47.3211,-96.5139,910,2021,04,16,42.830,
Ada,47.3211,-96.5139,910,2021,04,17,42.302,
Adams,48.499814,-98.075869,1580,2021,03,19,41.127,
Adams,48.499814,-98.075869,1580,2021,03,20,46.151,
Adams,48.499814,-98.075869,1580,2021,03,21,41.920,
Adams,48.499814,-98.075869,1580,2021,03,22,32.738,
Adams,48.499814,-98.075869,1580,2021,03,23,38.157,
Adams,48.499814,-98.075869,1580,2021,03,24,27.644,
Adams,48.499814,-98.075869,1580,2021,03,25,34.547,
Adams,48.499814,-98.075869,1580,2021,03,26,37.030,
Adams,48.499814,-98.075869,1580,2021,03,27,30.143,
Adams,48.499814,-98.075869,1580,2021,03,28,27.510,
Adams,48.499814,-98.075869,1580,2021,03,29,46.690,
Adams,48.499814,-98.075869,1580,2021,03,30,17.232,
Adams,48.499814,-98.075869,1580,2021,03,31,17.499,
Adams,48.499814,-98.075869,1580,2021,04,01,36.122,
Adams,48.499814,-98.075869,1580,2021,04,02,49.708,
Adams,48.499814,-98.075869,1580,2021,04,03,48.467,
Adams,48.499814,-98.075869,1580,2021,04,04,47.134,
Adams,48.499814,-98.075869,1580,2021,04,05,49.199,
Adams,48.499814,-98.075869,1580,2021,04,06,38.790,
Adams,48.499814,-98.075869,1580,2021,04,07,43.695,
Adams,48.499814,-98.075869,1580,2021,04,08,39.932,
Adams,48.499814,-98.075869,1580,2021,04,09,39.973,
Adams,48.499814,-98.075869,1580,2021,04,10,40.359,
Adams,48.499814,-98.075869,1580,2021,04,11,41.640,
Adams,48.499814,-98.075869,1580,2021,04,12,28.774,
Adams,48.499814,-98.075869,1580,2021,04,13,23.594,
Adams,48.499814,-98.075869,1580,2021,04,14,25.599,
Adams,48.499814,-98.075869,1580,2021,04,15,32.965,
Adams,48.499814,-98.075869,1580,2021,04,16,34.872,
Adams,48.499814,-98.075869,1580,2021,04,17,39.490,
Alamo,48.546510,-103.471843,2157,2021,03,19,44.493,
Alamo,48.546510,-103.471843,2157,2021,03,20,40.963,
Alamo,48.546510,-103.471843,2157,2021,03,21,34.386,
Alamo,48.546510,-103.471843,2157,2021,03,22,34.841,
Alamo,48.546510,-103.471843,2157,2021,03,23,34.433,
Alamo,48.546510,-103.471843,2157,2021,03,24,30.758,
Alamo,48.546510,-103.471843,2157,2021,03,25,42.647,
Alamo,48.546510,-103.471843,2157,2021,03,26,34.114,
Alamo,48.546510,-103.471843,2157,2021,03,27,29.087,
Alamo,48.546510,-103.471843,2157,2021,03,28,40.559,
Alamo,48.546510,-103.471843,2157,2021,03,29,32.342,
Alamo,48.546510,-103.471843,2157,2021,03,30,10.801,
Alamo,48.546510,-103.471843,2157,2021,03,31,20.231,
Alamo,48.546510,-103.471843,2157,2021,04,01,46.146,
Alamo,48.546510,-103.471843,2157,2021,04,02,47.773,
Alamo,48.546510,-103.471843,2157,2021,04,03,49.344,
Alamo,48.546510,-103.471843,2157,2021,04,04,47.253,
Alamo,48.546510,-103.471843,2157,2021,04,05,39.700,
Alamo,48.546510,-103.471843,2157,2021,04,06,39.264,
Alamo,48.546510,-103.471843,2157,2021,04,07,43.507,
